n_estimators,primary,subobjective_1,b,mu,alpha
56,0.23524716190119901,0.9009168608624042,0.9,10,0.009168608624041674
57,0.2348814070221769,0.9008263845729804,0.9,10,0.017432454353845106
58,0.23447137908718554,0.9002715091866326,0.9,10,0.020147546220170565
59,0.23429712955359247,0.8996084360344571,0.9,10,0.0
60,0.23398553136822473,0.9001232898103314,0.9,10,0.0012328981033138398
61,0.2338395712996317,0.9008002909809911,0.9,10,0.00923580791322487
62,0.23375759153263145,0.9006627461239098,0.9,10,0.015863269152323056
63,0.23342572490425373,0.9004562112108642,0.9,10,0.020425381260964492
64,0.23316051198739812,0.8948163943262487,0.9,10,0.0
65,0.23275663040897268,0.8957242217328799,0.9,10,0.0
66,0.23249518489501725,0.8965599689600098,0.9,10,0.0
67,0.23216471924199503,0.9016886272490718,0.9,10,0.01688627249071817
68,0.23196094797619177,0.9012626884029932,0.9,10,0.029513156520649675
69,0.2318484284594299,0.8924849645205407,0.9,10,0.0
70,0.231463603706194,0.8983585846394608,0.9,10,0.0
71,0.23129383422239044,0.8989864125581275,0.9,10,0.0
72,0.23110084249623136,0.9039368757090253,0.9,10,0.03936875709025234
73,0.23096303223169112,0.8901147917512469,0.9,10,0.0
74,0.23071713028576682,0.8962050549270918,0.9,10,0.0
75,0.23049204731563402,0.9015312428965822,0.9,10,0.0153124289658213
76,0.23020206398593157,0.9013562461592713,0.9,10,0.02887489055853454
77,0.23015046956942944,0.8927871369712285,0.9,10,0.0
78,0.22989207367078832,0.8987299573293632,0.9,10,0.0
79,0.2296737294458522,0.9038760202424727,0.9,10,0.038760202424726886
80,0.22965718744819572,0.8906357266595678,0.9,10,0.0
81,0.2293965927422425,0.8965279727603904,0.9,10,0.0
82,0.22922216811075857,0.9019732554245606,0.9,10,0.01973255424560616
83,0.22899636793781447,0.9010897296736747,0.9,10,0.03062985098235327
84,0.2288298699169726,0.8911396931602348,0.9,10,0.0
85,0.22855752521561737,0.8972744884127385,0.9,10,0.0
86,0.22828187120663837,0.9031552380250671,0.9,10,0.0315523802506712
87,0.2282000732559807,0.8930614173107594,0.9,10,0.0
88,0.22802642448748928,0.8988432551821097,0.9,10,0.0
89,0.2278907642006139,0.9042110901729604,0.9,10,0.04211090172960397
90,0.22791029624357478,0.8897379655922587,0.9,10,0.0
91,0.22773081921964364,0.8958291348756813,0.9,10,0.0
92,0.22749145923504469,0.9016043569975245,0.9,10,0.01604356997524481
93,0.22742868795973942,0.9014414234959031,0.9,10,0.03045780493427519
94,0.227344094794583,0.8922021506030114,0.9,10,0.0
95,0.22714150762487145,0.8981157427816334,0.9,10,0.0
96,0.22695337142435743,0.9046193002380295,0.9,10,0.04619300238029478
97,0.22705215706135454,0.8880327205336971,0.9,10,0.0
98,0.2269106139365516,0.8944701111105017,0.9,10,0.0
99,0.22678476644379061,0.9002776266441304,0.9,10,0.0027762664413033544
0,0.27376841173265143,0.6980756098609439,0.9,5,0.0
1,0.2703082444889829,0.7055716414210291,0.9,5,0.0
2,0.26725613721477537,0.7116305776606947,0.9,5,0.0
3,0.26457050764540274,0.7191281118125341,0.9,5,0.0
4,0.26233252212359626,0.7257619737796082,0.9,5,0.0
5,0.2602849043025281,0.7334613888020701,0.9,5,0.0
6,0.25838864199851813,0.7462072676529916,0.9,5,0.0
7,0.25677528109563064,0.7538246383679652,0.9,5,0.0
8,0.2552776847998103,0.7610892355051581,0.9,5,0.0
9,0.2539852248158026,0.7691230739925788,0.9,5,0.0
10,0.2527847459806588,0.7766268621811233,0.9,5,0.0
11,0.25168318845533116,0.7887754090129981,0.9,5,0.0
12,0.25061523376334455,0.7964329042571917,0.9,5,0.0
13,0.2496965009519764,0.8041807335138957,0.9,5,0.0
14,0.2488674375887355,0.812689522104633,0.9,5,0.0
15,0.248252571534494,0.8148216807357865,0.9,5,0.0
16,0.24737544103853898,0.8214839610859714,0.9,5,0.0
